candidate_limit,time_limit_per_day_sec,delivered_count,incomplete_count,total_deferral_days,total_distance_km,phase1_optimal_days,phase2_optimal_days,feasible_days,unknown_or_infeasible_days,total_runtime_sec,daily_phase1_delivered_count,daily_phase1_best_bound,daily_phase1_gap,daily_phase2_gap
30,30,222,78,571,1820.4588460306745,2,0,7,0,181.078065099995,1:27;2:28;3:29;4:30;5:38;6:34;7:36,1:30.0;2:30.0;3:30.0;4:30.0;5:49.0;6:34.0;7:103.0,1:11.11111111111111;2:7.142857142857143;3:3.4482758620689653;4:0.0;5:28.94736842105263;6:0.0;7:186.11111111111111,1:2.3123666144513715;2:0.9428486842435383;3:0.11714933214649294;4:0.014968091932719078;5:;6:0.005380692255031568;7:
30,60,225,75,579,1476.2897177447303,2,0,7,0,352.20431150000513,1:27;2:28;3:29;4:30;5:41;6:33;7:37,1:30.0;2:30.0;3:30.0;4:30.0;5:49.0;6:33.0;7:104.0,1:11.11111111111111;2:7.142857142857143;3:3.4482758620689653;4:0.0;5:19.51219512195122;6:0.0;7:181.0810810810811,1:2.233194573938622;2:0.9116203164921011;3:0.1228536244011708;4:0.01042921878830537;5:;6:0.005457953574419481;7:0.023884437457521702
30,120,231,69,613,1436.3368132401579,3,0,7,0,686.6694178000034,1:27;2:28;3:29;4:30;5:42;6:33;7:42,1:30.0;2:30.0;3:29.0;4:30.0;5:49.0;6:33.0;7:104.0,1:11.11111111111111;2:7.142857142857143;3:0.0;4:0.0;5:16.666666666666668;6:0.0;7:147.61904761904762,1:2.1501736042767274;2:0.9109514828042858;3:0.12293057126903524;4:0.009842293055630176;5:;6:0.005457953574419481;7:0.015207492623148593
40,30,262,38,630,2013.87821189206,2,0,7,0,180.71468579999782,1:35;2:38;3:35;4:37;5:40;6:40;7:37,1:40.0;2:40.0;3:40.0;4:40.0;5:40.0;6:40.0;7:75.0,1:14.285714285714286;2:5.2631578947368425;3:14.285714285714286;4:8.108108108108109;5:0.0;6:0.0;7:102.70270270270271,1:;2:;3:;4:0.19870698690950908;5:0.018428897904651718;6:0.009419656685297938;7:0.011677120771571453
40,60,266,34,656,1632.7806404552784,2,0,7,0,363.0233583999943,1:35;2:38;3:35;4:37;5:40;6:40;7:41,1:40.0;2:40.0;3:40.0;4:40.0;5:40.0;6:40.0;7:75.0,1:14.285714285714286;2:5.2631578947368425;3:14.285714285714286;4:8.108108108108109;5:0.0;6:0.0;7:82.92682926829268,1:;2:0.9075748535059133;3:1.2468786887704113;4:0.18638537978143005;5:0.022235881487331143;6:0.009338155972106483;7:0.013769753706682744
40,120,283,17,736,1633.7575162970572,2,0,7,0,711.0025438000011,1:35;2:38;3:36;4:38;5:40;6:40;7:56,1:40.0;2:40.0;3:40.0;4:40.0;5:40.0;6:40.0;7:73.0,1:14.285714285714286;2:5.2631578947368425;3:11.11111111111111;4:5.2631578947368425;5:0.0;6:0.0;7:30.357142857142858,1:3.93207182168241;2:;3:0.9184287526305169;4:0.218415566231507;5:0.014602539976997184;6:0.008610700963069338;7:0.008919390671490961
50,30,292,8,677,2159.327944864284,2,0,7,0,181.66705470000306,1:41;2:42;3:43;4:42;5:38;6:50;7:36,1:50.0;2:50.0;3:50.0;4:50.0;5:50.0;6:50.0;7:36.0,1:21.951219512195124;2:19.047619047619047;3:16.27906976744186;4:19.047619047619047;5:31.57894736842105;6:0.0;7:0.0,1:2.9305864039814287;2:;3:;4:;5:;6:0.025101871420270438;7:0.005647509147788255
50,60,293,7,665,2335.6604418248908,2,0,7,0,355.210840300002,1:42;2:45;3:44;4:41;5:36;6:50;7:35,1:50.0;2:50.0;3:50.0;4:50.0;5:50.0;6:50.0;7:35.0,1:19.047619047619047;2:11.11111111111111;3:13.636363636363637;4:21.951219512195124;5:38.888888888888886;6:0.0;7:0.0,1:;2:;3:;4:;5:;6:0.010160065670583465;7:0.005862806035785708
50,120,297,3,668,1916.2726983688522,2,0,7,0,703.2756986999957,1:43;2:47;3:45;4:42;5:34;6:50;7:36,1:50.0;2:50.0;3:50.0;4:50.0;5:49.0;6:50.0;7:36.0,1:16.27906976744186;2:6.382978723404255;3:11.11111111111111;4:19.047619047619047;5:44.11764705882353;6:0.0;7:0.0,1:;2:;3:;4:0.8173424318045123;5:11.890819309328114;6:0.015007819257978429;7:0.006170744500323964
60,30,284,16,635,2371.522305502871,2,0,7,0,183.8282407000006,1:40;2:45;3:43;4:41;5:34;6:50;7:31,1:60.0;2:60.0;3:60.0;4:60.0;5:60.0;6:50.0;7:31.0,1:50.0;2:33.333333333333336;3:39.53488372093023;4:46.34146341463415;5:76.47058823529412;6:0.0;7:0.0,1:;2:;3:;4:;5:;6:0.00934382573928923;7:0.005794885331051787
60,60,293,7,644,2148.722715230593,2,0,7,0,360.3062153999999,1:43;2:47;3:45;4:44;5:32;6:51;7:31,1:60.0;2:60.0;3:60.0;4:60.0;5:60.0;6:51.0;7:31.0,1:39.53488372093023;2:27.659574468085108;3:33.333333333333336;4:36.36363636363637;5:87.5;6:0.0;7:0.0,1:;2:;3:;4:;5:;6:0.009548249900097014;7:0.006346308649836499
60,120,288,12,599,2092.331844186893,2,0,7,0,706.4157755999986,1:47;2:47;3:46;4:44;5:29;6:51;7:24,1:60.0;2:60.0;3:60.0;4:59.0;5:60.0;6:51.0;7:24.0,1:27.659574468085108;2:27.659574468085108;3:30.434782608695652;4:34.09090909090909;5:106.89655172413794;6:0.0;7:0.0,1:;2:;3:;4:;5:;6:0.008048103361943329;7:0.007609884376828922
80,30,279,21,688,2413.078506313593,1,0,7,0,213.07101980000152,1:41;2:38;3:35;4:38;5:34;6:42;7:51,1:80.0;2:80.0;3:80.0;4:80.0;5:79.0;6:63.0;7:51.0,1:95.1219512195122;2:110.52631578947368;3:128.57142857142858;4:110.52631578947368;5:132.35294117647058;6:50.0;7:0.0,1:;2:;3:;4:;5:;6:0.02413484345037797;7:0.006736015017807071
80,60,289,11,646,2317.3119490662457,2,0,7,0,369.3527422999978,1:42;2:45;3:44;4:42;5:32;6:53;7:31,1:80.0;2:80.0;3:80.0;4:80.0;5:71.0;6:53.0;7:31.0,1:90.47619047619048;2:77.77777777777777;3:81.81818181818181;4:90.47619047619048;5:121.875;6:0.0;7:0.0,1:;2:;3:;4:;5:;6:0.008952508812944987;7:0.006376702807388959
80,120,288,12,631,2327.698492409565,2,0,7,0,714.3561692000003,1:41;2:46;3:46;4:43;5:31;6:55;7:26,1:80.0;2:80.0;3:80.0;4:80.0;5:71.0;6:55.0;7:26.0,1:95.1219512195122;2:73.91304347826087;3:73.91304347826087;4:86.04651162790698;5:129.03225806451613;6:0.0;7:0.0,1:;2:;3:;4:;5:;6:0.008480876464928379;7:0.0075314237794567385
